Outward Code,Town,County
CB10,Saffron Walden,Essex
CB11,Newport,Essex
CB9,Haverhill,Suffolk
CM0,Southminster,Essex
CM1,Chelmsford,Essex
CM11,Billericay,Essex
CM12,Billericay,Essex
CM13,Brentwood,Essex
CM14,Brentwood,Essex
CM15,Brentwood,Essex
CM16,Epping,Essex
CM17,Harlow,Essex
CM18,Harlow,Essex
CM19,Harlow,Essex
CM2,Great Baddow,Essex
CM20,Harlow,Essex
CM22,Great Hallingbury,Essex
CM24,Stansted Mountfitchet,Essex
CM3,Danbury,Essex
CM4,Ingatestone,Essex
CM5,Ongar,Essex
CM6,Great Dunmow,Essex
CM7,Braintree,Essex
CM77,Braintree,Essex
CM8,Witham,Essex
CM9,Heybridge,Essex
CO1,Colchester,Essex
CO10,Sudbury,Suffolk
CO11,Mistley,Essex
CO12,Harwich,Essex
CO13,Frinton and Walton,Essex
CO14,Frinton and Walton,Essex
CO15,Clacton-on-Sea,Essex
CO16,Little Clacton,Essex
CO2,Colchester,Essex
CO3,Colchester,Essex
CO4,Colchester,Essex
CO5,Layer Breton,Essex
CO6,Fordham,Essex
CO7,Elmstead,Essex
CO8,Bures Hamlet,Essex
CO9,Sible Hedingham,Essex
EN9,Waltham Abbey,Essex
IG10,Loughton,Essex
IG7,Loughton,Essex
IG9,Loughton,Essex
IP1,Ipswich,Suffolk
IP10,Levington,Suffolk
IP11,Felixstowe,Suffolk
IP12,Bromeswell,Suffolk
IP13,Kettleburgh,Suffolk
IP14,Stowupland,Suffolk
IP15,Aldeburgh,Suffolk
IP16,Leiston,Suffolk
IP17,Kelsale,Suffolk
IP18,Southwold,Suffolk
IP19,Halesworth,Suffolk
IP2,Ipswich,Suffolk
IP21,Syleham,Suffolk
IP22,Wortham,Suffolk
IP23,Eye,Suffolk
IP27,Brandon,Suffolk
IP28,Tuddenham,Suffolk
IP29,Whepstead,Suffolk
IP3,Ipswich,Suffolk
IP30,Hessett,Suffolk
IP31,Pakenham,Suffolk
IP32,Bury St Edmunds,Suffolk
IP33,Bury St Edmunds,Suffolk
IP4,Ipswich,Suffolk
IP5,Kesgrave,Suffolk
IP6,Hemingstone,Suffolk
IP7,Aldham,Suffolk
IP8,Sproughton,Suffolk
IP9,Holbrook,Suffolk
NR32,Oulton Broad,Suffolk
NR33,Oulton Broad,Suffolk
NR34,Weston,Suffolk
NR35,Bungay,Suffolk
RM4,Stapleford Abbotts,Essex
SS11,Wickford,Essex
SS12,Wickford,Essex
SS13,Basildon,Essex
SS14,Basildon,Essex
SS15,Basildon,Essex
SS16,Basildon,Essex
SS4,Rochford,Essex
SS5,Hockley,Essex
SS6,Rayleigh,Essex
SS7,Canvey Island,Essex
SS8,Canvey Island,Essex
